links,Stories,beds,baths,price,Zip Code,Days on Market,Year Built,Lot Area,Property Type
https://www.trulia.com/p/ny/new-york/26-w-127th-st-1b-new-york-ny-10027--2617906422,,1.0,1.0,760000.0,10027,1,2022.0,nan, Condo
https://www.trulia.com/p/ny/new-york/768-5th-ave-1521-new-york-ny-10019--2008639259,,1.0,2.0,2580000.0,10019,1,1907.0,nan, Condo
https://www.trulia.com/p/ny/brooklyn/1666-e-55th-st-brooklyn-ny-11234--2089020850,1.0,2.0,2.0,699000.0,11234,1,1930.0,3000, Single Family Home
https://www.trulia.com/p/ny/jamaica/16351-phroane-ave-jamaica-ny-11433--2159035885,1.0,5.0,2.0,1500000.0,11433,1,1901.0,4000, Single Family Home
https://www.trulia.com/p/ny/jamaica/23036-lansing-ave-jamaica-ny-11413--1004228965,1.0,3.0,1.0,679000.0,11413,1,1950.0,6000, Single Family Home
https://www.trulia.com/p/ny/staten-island/128-commodore-dr-staten-island-ny-10309--2008804154,3.0,2.0,3.0,619000.0,10309,1,1986.0,1850, Residential
https://www.trulia.com/p/ny/astoria/20-39-47th-st-2family-astoria-ny-11105--2617904203,,3.0,2.0,1295000.0,11105,1,1950.0,nan, Multi Family
https://www.trulia.com/p/ny/new-york/10-w-66th-st-30a-new-york-ny-10023--2192071706,,1.0,2.0,1750000.0,10023,1,1969.0,nan, Coop
https://www.trulia.com/p/ny/new-york/10-w-66th-st-30b-new-york-ny-10023--2333517649,,4.0,4.0,3650000.0,10023,1,1969.0,nan, Coop
https://www.trulia.com/p/ny/new-york/1-great-jones-st-3a-new-york-ny-10012--2175632951,12.0,2.0,2.0,4895000.0,10012,1,2017.0,nan, Condo
https://www.trulia.com/p/ny/brooklyn/115-dahlgren-pl-2d-brooklyn-ny-11228--2009808361,2.0,2.0,1.0,650000.0,11228,1,2001.0,nan, Condo
https://www.trulia.com/p/ny/brooklyn/668-halsey-st-2-brooklyn-ny-11233--2197036896,5.0,1.0,2.0,747777.0,11233,1,2015.0,nan, Condo
